Francesca,Construction ID,Name,Form,Function,Formal Tags,Functional Tags,Schematicity Level,Examples 1,Source,Examples 2,Source,Examples 3,Source,Examples 4,Source,Examples 5,Source,Idiomaticity Level Function,Explain,Idiomaticity Level Form,Explain,Idiomaticity Level Restrictions,Explain,Idiomaticity Level Collocational Preferences,Explain,Idiomaticity Level Usage Familiarity,Explain,Data Collector,Notes
,54,,se non V(esserefless)+ N/Avv V(esserefless) + N/Avv,Esprime risoluzione del riconoscimento/avvenimento del primo termine dell'equazione per mezzo del secondo.,lexically filled idiom,"approximation, EMOTIVE, durativity",partially filled/schematic,"""Se non è oggi è domani"". Usato in italiano non standard per indicare un evento/azione che non si è compiuta nel primo termine e che verrà compiuta necessariamente nel secondo. ",,"""Se non è zuppa è pan bagnato"", significato assimilabile al primo esempio ma con sfumatura diversa. Esprime come due cose dal nome differente ma con aspetto simile siano, alla fine, sempre quelle. ",,"""Se non è ciccia è cioccia"". Esito differente del secondo esempio ma con stesso valore. Qui esemplificato dalla somiglianza grafico-fonetica.",,,,,,no,,no,,yes,Ordine dei costituenti fisso,no,,no,,Filippo Sergio,
,55,,Acqua in bocca,Modo di dire comunemente usato nel parlato informale per invitare l'interlocutore (con cui si sta parlando) a mantenere un segreto. ,idiom of encoding,intensification,fully schematic,E' un segreto quindi acqua in bocca!,,"«Mi raccomando, Landsman, acqua in bocca» dice Cashdollar piano, facendo il gesto di sigillarsi le labbra.",https://it.glosbe.com/it/it/acqua%20in%20bocca,"Dunque, acqua in bocca, per il momento, non dire niente a nessuno per non rischiare intrighi e proteste.",https://it.glosbe.com/it/it/acqua%20in%20bocca,,,,,no,Questo modo di dire è comprensibile dalla somma dei costituenti. ,no,La costruzione non ha particolarità sintattiche.,yes,L'intera costruzione è costituita da slot fissi che non possono essere sostituiti con altri. ,yes,,yes,,Federica D'Isita,
,56,,"apriti + N
(cielo/terra/sesamo)","Esclamazione usata per indicare (la possibilità) il verificarsi di un evento inatteso, di una sciagura.
La variante ""apriti sesamo!"" esprime sorpresa o speranza che una cosa accada.","light verbs, lexically filled idiom","intensification, EMOTIVE, situation",lexically filled,"La cacciata della O ogni giorno provocava nuovi casini. Ad esempio,
 sorsero grosse complicazioni internazionali: l ' ONU diventò NU, e 
quell ' Assemblea s'offese vedendosi confusa con la sigla della 
Nettezza Urbana; l ' OMS (l'Organizzazione Mondiale della Sanità),
 appena dopo una campagna contro il fumo, si sentì chiamare MS, come 
le note sigarette: apriti cielo!
 ",http://corpora.ficlit.unibo.it/TCORIS/Context.php?Start=20094364&End=20094364,"Vina privilegia il crudo sentimentalismo rispetto_alla ragione, 
sicché ora non possiamo più pensare, ma solo sentire. Il primo dice 
che il fenomeno è populista - democratico. Il secondo teme che possa 
essere cripto - fascista, e che possa originare un nuovo tipo d'
intolleranza di massa. Ecco critici letterari e critici teatrali. I 
critici letterari sono divisi; il vecchio e balbuziente Alfred Fiedler 
Malcolm cita Faustus di Marlowe - Io allora a capofitto nella terra mi 
getterò: apriti, terra!
 ",http://corpora.ficlit.unibo.it/TCORIS/Context.php?Start=86122601&End=86122601,""" Where are you from?"" da dove venite?, chiede sospettoso uno dei capiclan. Dall'Italia. L'omone prima ci squadra e poi bontà sua ci gratifica di un: ""Italiani amici"". Il tono non è esattamente amichevole ma funzione come un ""apriti sesamo"". Ammessi, dunque.",http://corpora.ficlit.unibo.it/TCORIS/Context.php?Start=17840964&End=17840964,"Martedì, non appena si è diffusa la notizia che da venerdì 28 marzo i politici non potranno più partecipare a trasmissioni di intrattenimento in Rai e Mediaset, dato il black out elettorale per il voto amministrativo del 27 aprile, apriti cielo! Sono a rischio trasmissioni come Mixer, Pinocchio, Moby Dick.",http://corpora.ficlit.unibo.it/TCORIS/Context.php?Start=114089084&End=114089084,"Il jazz, o qualsiasi cosa fosse, poteva adesso essere diffuso anche laddove non si sarebbe mai sognato di arrivare ( la radio era agli albori ) e, visto il successo, tutti cominciarono a incidere dischi e, da espressione di un manipolo di nottambuli reietti, spesso appartenenti a minoranze tenute sotto osservazione poliziesca, il jazz si fece oggetto commerciale e,apriti sesamo, fu accettato. ",http://corpora.ficlit.unibo.it/TCORIS/Context.php?Start=164105295&End=164105295,yes,"Il significato dell'espressione non è letterale, non si intende usare il verbo aprire nel suo significato standard. Si potrebbe dire che qui è un verbo leggero.",no,,yes,N deve essere uno dei tre nomi indicati (cielo/terra/sesamo) affinché l'esclamazione conservi il suo significato.,no,,no,,Valentina Conti,
,57,,"V (morire) dalla voglia di Vx
V + Prep1 + N + Prep2 + Vx",Espressione colloquiale e iperbolica per indicare un desiderio ardente.,"light verbs, lexically filled idiom",intensification,lexically filled,Muoio dalla voglia di uscire.,"Dizionario Internazionale
https://dizionario.internazionale.it/parola/morire-dalla-voglia","Entrambi poi, sembrano morire dalla voglia di prendere a pretesto i divieti imposti in un altro stato per introdurre ulteriori proibizioni nel proprio.","Corpus italiano Paisà
https://www.corpusitaliano.it/static/documents/sources/770/7708169","A poco più di un mese dall'uscita americana, il cazzutissimo The Expendables ci regala oggi un lungo ed inedito spot tv, talmente testosteronico da farci morire dalla voglia di vederlo il prima possibile!","Corpus italiano Paisà
https://www.corpusitaliano.it/static/documents/sources/740/7406114","Ma come fare se non si ha tempo a disposizione per frequentare un master o un corso di formazione, oppure non si muore dalla voglia di tornare tra i banchi di scuola?","Corpus italiano Paisà
https://www.corpusitaliano.it/static/documents/sources/781/7815988","Se proprio morite dalla voglia di provare qualcosa, resistete fino all'orario di chiusura, e concedetevi uno splendido pezzone di torta al bar (non mi ricordo come si chiama) che si trova all' ingresso (guardando l'uscita, sulla sinistra).","Corpus italiano Paisà
https://www.corpusitaliano.it/static/documents/sources/780/7801691",yes,"Il significato della costruzione non è strettamente deducibile dalla somma dei significati delle parti che la compongono; non vale cioè il principio di composizionalità. Questo perché il suo significato non è letterale, ma figurato, iperbolico. Potremmo intedere in questo caso il verbo ""morire"" come un verbo ""leggero"".",no,"Si tratta di uno degli esempi della costruzione: verbo ""morire"" + preposizione ""da"" (semplice o articolata) + N, dove il verbo può essere inteso sia in senso letterale che figurato:
- morire dal dolore;
- morire dal ridere;
- morire dalle risate;
- morire dal caldo;
- ...
 ",yes,"La costruzione  può essere seguita solo da un verbo.
 ",no,,no,,Giulia Goffredi,
,58,,direfles + su + Compl di termine (pronome / aprep + Nanimato),"dire su a qualcuno o a qualcosa: sgridare qualcuno (es ""Carla parlava continuamente durante la lezione, quindi le ho detto su"" = l'ho sgridata) o qualcosa di animato (""oggi ho detto su al gatto perché ha fatto la pipì su divano"").",,,partially filled/schematic,,,,,,,,,,,no,,no,,no,,no,,no,,,
,59,,V. (mettersi) + Prep. (nelle) + N. (mani) + Prep. (di) + N. (qualcuno),Espressione utilizzata per indicare la volontà da parte di un individuo di affidarsi completamente alle cure di un altro individuo.,,,partially filled/schematic,"Commissario, mi metto completamente nelle sue mani.",Web,Essere nelle mani di Dio indica protezione.,Web,Il sistema non dovrà cadere nelle mani di individui animati da interessi particolari.,Web,,,,,yes,"L'espressione indica l'affidamento o l'abbandono alle cure di un individuo, mediante un lessema verbale semanticamente neutro che si appoggia a un sostantivo semanticamente forte. «Mani» rappresenta il centro semantico della costruzione.",no,,yes,L'espressione viene tendenzialmente utilizzata per indicare una presunta soluzione a una situazione di difficoltà.,yes,"L'espressione può essere introdotta da altri verbi, veicolando una sfumatura semantica differente a seconda dei casi (Cadere, essere, mettersi).",yes,Espressione utilizzata in contesti informali.,Manuel Consiglio,"L'espressione ha origine medievale e deriva dal gesto simbolico (immixtio manuum) che legava un vassallo al suo signore, tramite un cerimoniale pubblico di giuramento.
Differenza tra «mettersi nelle mani di qualcuno» ed «essere nelle mani di qualcuno»: nel primo caso, si indica la volontà attiva del protagonista dell'azione di affidarsi alle cure di un altro individuo; nel secondo caso, invece, si indica la passività del protagonista dell'azione, il quale è soggetto all'autorità e al potere incontrastato di un altro partecipante. («Cadere nelle mani di qualcuno»: diventare prigioniero di qualcuno)
«Sono nelle mani di Dio!» (Completo abbandono alla forza protettiva di una divinità)
«Put your life in someone's hands» 
«I put myself in your hands» 
«Fall into their hands»"
,60,,"Verbo + Locuz. Avverb""a più non posso"" ","Espressione avverbiale usata nell'italiano familiare.
Letteralmente: ""quanto più è possibile"", riferendosi all'azione espressa dal verbo che lo precede.","complex adverb, adverb, extragrammatical, unformal","intensification, aspect, categorization, modalità dell'azione, situation",partially filled/schematic,"Oggi ero in ritardo al colloquio di lavoro, quindi ho corso a più non posso.","""Il nuovo De Mauro"", Dizionario de l'Internazionale.","Per il suo matrimonio, Claudia ha organizzato un pranzo a buffet: ho bevuto e mangiato a più non posso.","""Il nuovo De Mauro"", Dizionario de l'Internazionale.",Francesco fa delle battute divertentissime: mi fanno sempre ridere a più non posso.,Vocabolario Treccani.,,,,,no,La semantica di tale costruzione è deducibile dalle sue parti.,no,,yes,La costruzione può esistere solo se la locuazione è preceduta da un verbo.,no,,yes,Espressione utilizzata in contesti informali e familiari.,Emanuela Pausata,
,61,,"""Immagina"" Vinf SN/Sprep Prep/Conj SV","Costruzione che esprime una situazione inusuale/imprevista in relazione ai presupposti espressi dal verbo di pensiero ""Immagina""",,,partially filled/schematic,Immagina andare a scuola e scoprire che è festa,Italiano colloquiale,Immagina farti la doccia per andare in palestra,Twitter,Immagina guidare e non avere la patente,Italiano colloquiale,Immagina essere all'ultima puntata della serie e non averci capito nulla,Italiano colloquiale,,,yes,La costruzione è predicibile dalla sua frequenza d'uso,no,,yes,"Il verbo immagina, usato in forma impersonale, si trova all'inizio della proposizione",no,,no,,Alessia Sulioti,
,62,,ma+anche+X,sminuire il contenuto espresso precedentemente da un enunciato prodotto da un interlocutore,avversativa,,partially filled/schematic,"""Ci è sembrato un atto sereno, civile, ma anche ovvio, rispondere"" (dubbio)",http://corpora.ficlit.unibo.it/TCORIS/Context.php?Start=28951230&End=28951232,"""ma anche no""",competenze personali,"""ma anche meno""",competenze personali,,,,,yes,Il significato della costruzione è parlzialmente idiomatico,no,La costruzione segue le regole sintattiche della lingua italiana,yes,La costruzione presenta due posizioni fisse e una variabile,no,,yes,La costruzione è usata soprattutto in contesti poco sorvegliati,Francesca Cappelli,
,63,,[stra-AGG],Prefixed superlative,"prefixation, unformal",intensification,partially filled/schematic,"Che un certo signor B., a tutti noto, sia  straricco  e assai potente, si ""vede"" immediatamente - e non porta da nessuna parte...",itTenTen20,"Anche il Red Devil continua a fiorire, nonostante sia già  stracarico  di frutti. ",itTenTen20," In vista di quell'appuntamento spero che il Terzo Polo sia giunto a maturazione anche perche' sono  strasicuro  che tra Berlusconi-Bossi e Bersani-Vendola-Di Pietro, ci sia uno spazio ampio di cittadini che sono pronti ad abbracciare una terza opzione",itTenTen20," Mille luci, mille voci, mille cuori  strafelici  ... sono tutti in allegria oh, che felicità. ",itTenTen20,Leggete e ripetete tutto fino a quando non sarete  strasicuri  di aver compreso bene ogni cosa.,itTenTen20,no,,no,,no,,no,,no,,Alessandro Buttinelli,"Si confronti la costruzione non solo con la realizzazione ""standard"" suffissale del superlativo in italiano, ma anche con costruzioni aggettivali che apparentemente potrebbero essere ricondotte alla stessa rappresentazione schematica [stra-AGG], ma che invece divergono da questa per il loro maggior grado di fissità che le ha rese costruzioni aggettivali non derivate e che sono prive del valore intensivo e superlativo proprio a questa costruzione. Es.: straordinario != ordinarissimo vs strafelice = felicissimo."
,64,,"Non è Xi, ma è Yi che Zi",Predicate on Yi,"discontinuous reduplication, avversativa",intensification,partially filled/schematic,"Non è tanto il caldo, ma è l'umidità che uccide",Google Search,"Non è solo il balzello, ma è il senso di sconforto che opprime e offende",itTenTen20,"Non è bello ciò che è bello, ma è bello ciò che piace",itTenTen20,"Non è il diritto che fa la legge, ma è la legge che fa il diritto",itTenTen20,,,yes,The function of the construction is not fully predictable from its parts,yes,"There are fixed parts ""Non è... ma è... che"" that are separated by slots that can be filled with different linguistic elements",yes,"Yi is in an avversative relation to Xi
 ",yes,"Xi = N or phrase
Yi= N (usually in the same semantic field of Xi, but with a similar meaning rather than being an antonym) or phrase (usually reduplicating part of Xi)
Zi= V or phrase",no,,Federica Del Bono,
